tmax;alpha;dx;dt;stable;nb_iteration;erreur
500.0;2.0e-06;0.0100502512562814;5.0;1;101;0.0014528180375955
500.0;2.0e-06;0.0100502512562814;10.0;1;51;0.00142000479789696
500.0;2.0e-06;0.0100502512562814;15.0;1;34;0.00140635839373943
500.0;2.0e-06;0.0100502512562814;20.0;1;26;0.0013559764035356
500.0;2.0e-06;0.0100502512562814;25.0;1;21;0.00132619876994136
500.0;2.0e-06;0.0100502512562814;30.0;0;17;0.0282645126308765
500.0;2.0e-06;0.0100502512562814;35.0;0;15;0.784360845993295
500.0;2.0e-06;0.0100502512562814;40.0;0;13;4.03105041107079
500.0;2.0e-06;0.0100502512562814;45.0;0;12;15.3620778018828
500.0;2.0e-06;0.0100502512562814;50.0;0;11;31.9752064757196
500.0;2.0e-06;0.01;5.0;1;101;0.00144914479224423
500.0;2.0e-06;0.01;10.0;1;51;0.00141641012920213
500.0;2.0e-06;0.01;15.0;1;34;0.00140279542990408
500.0;2.0e-06;0.01;20.0;1;26;0.00135253525151925
500.0;2.0e-06;0.01;25.0;1;21;0.00132476510216338
500.0;2.0e-06;0.01;30.0;0;17;0.0378967998429796
500.0;2.0e-06;0.01;35.0;0;15;0.991085396056199
500.0;2.0e-06;0.01;40.0;0;13;4.86768906110003
500.0;2.0e-06;0.01;45.0;0;12;18.1170443040022
500.0;2.0e-06;0.01;50.0;0;11;36.9627044736985
500.0;2.0e-06;0.0099502487562189;5.0;1;101;0.0014454996116735
500.0;2.0e-06;0.0099502487562189;10.0;1;51;0.0014128429792584
500.0;2.0e-06;0.0099502487562189;15.0;1;34;0.00139925977715211
500.0;2.0e-06;0.0099502487562189;20.0;1;26;0.00134912054902319
500.0;2.0e-06;0.0099502487562189;25.0;1;21;0.00132585385517145
500.0;2.0e-06;0.0099502487562189;30.0;0;17;0.0506392600200687
500.0;2.0e-06;0.0099502487562189;35.0;0;15;1.24913480124219
500.0;2.0e-06;0.0099502487562189;40.0;0;13;5.86711296681309
500.0;2.0e-06;0.0099502487562189;45.0;0;12;21.3340185913511
500.0;2.0e-06;0.0099502487562189;50.0;0;11;42.6749788152025
500.0;2.0e-06;0.0099009900990099;5.0;1;101;0.00144188213645892
500.0;2.0e-06;0.0099009900990099;10.0;1;51;0.00140930299470278
500.0;2.0e-06;0.0099009900990099;15.0;1;34;0.00139575108418901
500.0;2.0e-06;0.0099009900990099;20.0;1;26;0.00134573195459902
500.0;2.0e-06;0.0099009900990099;25.0;1;21;0.00133253391406764
500.0;2.0e-06;0.0099009900990099;30.0;0;17;0.0674359900154327
500.0;2.0e-06;0.0099009900990099;35.0;0;15;1.57049479860646
500.0;2.0e-06;0.0099009900990099;40.0;0;13;7.0589540276998
500.0;2.0e-06;0.0099009900990099;45.0;0;12;25.0852795755373
500.0;2.0e-06;0.0099009900990099;50.0;0;11;49.2098747739168
500.0;2.0e-06;0.00985221674876847;5.0;1;101;0.00143829201364497
500.0;2.0e-06;0.00985221674876847;10.0;1;51;0.0014057898285524
500.0;2.0e-06;0.00985221674876847;15.0;1;34;0.00139226900607608
500.0;2.0e-06;0.00985221674876847;20.0;1;26;0.00134236913300308
500.0;2.0e-06;0.00985221674876847;25.0;1;21;0.00135138240244175
500.0;2.0e-06;0.00985221674876847;30.0;0;17;0.0895017055375376
500.0;2.0e-06;0.00985221674876847;35.0;0;15;1.96977963264733
500.0;2.0e-06;0.00985221674876847;40.0;0;13;8.4778793302981
500.0;2.0e-06;0.00985221674876847;45.0;0;12;29.4536277767117
500.0;2.0e-06;0.00985221674876847;50.0;0;11;56.6774708630839
500.0;2.0e-06;0.00980392156862745;5.0;1;101;0.0014347288965951
500.0;2.0e-06;0.00980392156862745;10.0;1;51;0.00140230314005616
500.0;2.0e-06;0.00980392156862745;15.0;1;34;0.0013888132040822
500.0;2.0e-06;0.00980392156862745;20.0;1;26;0.00133903175505121
500.0;2.0e-06;0.00980392156862745;25.0;1;21;0.00139592104317595
500.0;2.0e-06;0.00980392156862745;30.0;0;17;0.118394511292765
500.0;2.0e-06;0.00980392156862745;35.0;0;15;2.46477245462878
500.0;2.0e-06;0.00980392156862745;40.0;0;13;10.1643879600884
500.0;2.0e-06;0.00980392156862745;45.0;0;12;34.5338064945427
500.0;2.0e-06;0.00980392156862745;50.0;0;11;65.20149050572
500.0;2.0e-06;0.00975609756097561;5.0;1;101;0.00143119244484599
500.0;2.0e-06;0.00975609756097561;10.0;1;51;0.00139884259455048
500.0;2.0e-06;0.00975609756097561;15.0;1;34;0.00138538334553995
500.0;2.0e-06;0.00975609756097561;20.0;1;26;0.00133571949747825
500.0;2.0e-06;0.00975609756097561;25.0;0;21;0.00149206478484263
500.0;2.0e-06;0.00975609756097561;30.0;0;17;0.156107101427127
500.0;2.0e-06;0.00975609756097561;35.0;0;15;3.07706968858943
500.0;2.0e-06;0.00975609756097561;40.0;0;13;12.1657249449782
500.0;2.0e-06;0.00975609756097561;45.0;0;12;40.4341005552322
500.0;2.0e-06;0.00975609756097561;50.0;0;11;74.9208634983924
500.0;2.0e-06;0.00970873786407767;5.0;1;101;0.00142768232396598
500.0;2.0e-06;0.00970873786407767;10.0;1;51;0.00139540786331919
500.0;2.0e-06;0.00970873786407767;15.0;1;34;0.00138197910370561
500.0;2.0e-06;0.00970873786407767;20.0;1;26;0.00133243204280301
500.0;2.0e-06;0.00970873786407767;25.0;0;21;0.00168417936488804
500.0;2.0e-06;0.00970873786407767;30.0;0;17;0.20518075451999
500.0;2.0e-06;0.00970873786407767;35.0;0;15;3.83284804499653
500.0;2.0e-06;0.00970873786407767;40.0;0;13;14.5369282809413
500.0;2.0e-06;0.00970873786407767;45.0;0;12;47.2781330922418
500.0;2.0e-06;0.00970873786407767;50.0;0;11;85.9914518240658
500.0;2.0e-06;0.00966183574879227;5.0;1;101;0.0014241982054175
500.0;2.0e-06;0.00966183574879227;10.0;1;51;0.0013919986234574
500.0;2.0e-06;0.00966183574879227;15.0;1;34;0.0013786001576233
500.0;2.0e-06;0.00966183574879227;20.0;1;26;0.00132916907920228
500.0;2.0e-06;0.00966183574879227;25.0;0;21;0.00203750178391582
500.0;2.0e-06;0.00966183574879227;30.0;0;17;0.268847458771421
500.0;2.0e-06;0.00966183574879227;35.0;0;15;4.76377599150987
500.0;2.0e-06;0.00966183574879227;40.0;0;13;17.3420269965566
500.0;2.0e-06;0.00966183574879227;45.0;0;12;55.2068829835205
500.0;2.0e-06;0.00966183574879227;50.0;0;11;98.5879556587709
500.0;2.0e-06;0.00961538461538462;5.0;1;101;0.0014207397664232
500.0;2.0e-06;0.00961538461538462;10.0;1;51;0.00138861455773899
500.0;2.0e-06;0.00961538461538462;15.0;1;34;0.00137524619199276
500.0;2.0e-06;0.00961538461538462;20.0;1;26;0.00132593030040435
500.0;2.0e-06;0.00961538461538462;25.0;0;21;0.00263532440213574
500.0;2.0e-06;0.00961538461538462;30.0;0;17;0.351206675666536
500.0;2.0e-06;0.00961538461538462;35.0;0;15;5.90809510605976
500.0;2.0e-06;0.00961538461538462;40.0;0;13;20.6554104516706
500.0;2.0e-06;0.00961538461538462;45.0;0;12;64.3809479428067
500.0;2.0e-06;0.00961538461538462;50.0;0;11;112.906016809658
500.0;2.4e-05;0.0100502512562814;5.0;0;101;4.16904663745904e+53
500.0;2.4e-05;0.0100502512562814;10.0;0;51;1.9642982575006e+43
500.0;2.4e-05;0.0100502512562814;15.0;0;34;1.54601102593463e+34
500.0;2.4e-05;0.0100502512562814;20.0;0;26;5.79474027912437e+28
500.0;2.4e-05;0.0100502512562814;25.0;0;21;4.95485382240276e+24
500.0;2.4e-05;0.0100502512562814;30.0;0;17;5.46880176338004e+20
500.0;2.4e-05;0.0100502512562814;35.0;0;15;8.70077748446947e+18
500.0;2.4e-05;0.0100502512562814;40.0;0;13;5.5733216096252e+16
500.0;2.4e-05;0.0100502512562814;45.0;0;12;6.83118390191031e+15
500.0;2.4e-05;0.0100502512562814;50.0;0;11;572586573435698.0
500.0;2.4e-05;0.01;5.0;0;101;1.49601226130182e+54
500.0;2.4e-05;0.01;10.0;0;51;3.4628875110104e+43
500.0;2.4e-05;0.01;15.0;0;34;2.22041393499042e+34
500.0;2.4e-05;0.01;20.0;0;26;7.59461776378337e+28
500.0;2.4e-05;0.01;25.0;0;21;6.14383108020775e+24
500.0;2.4e-05;0.01;30.0;0;17;6.49442904034132e+20
500.0;2.4e-05;0.01;35.0;0;15;1.01115810341528e+19
500.0;2.4e-05;0.01;40.0;0;13;6.34106340033714e+16
500.0;2.4e-05;0.01;45.0;0;12;7.689590812869e+15
500.0;2.4e-05;0.01;50.0;0;11;637773329393474.0
500.0;2.4e-05;0.0099502487562189;5.0;0;101;5.31619051639677e+54
